"workclass";"education";"marital_status";"occupation";"race";"gender";"full_or_part_emp";"capital_gains";"capital_losses";"state_prev_res";"fam_under_18";"country_self";"income_50k";"age";"relationship"
"self employed incorporated";"bachelors degree(ba ab bs)";"divorced";"executive admin and managerial";"white";"female";"full time schedules";0;1719;"nonmover";"adult";"united states";"<=50k";49;"husband"
"private";"high school graduate";"married spouse absent";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";25;"own child"
"private";"12th grade";"married civilian spouse present";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";">50k";47;"husband"
"self employed incorporated";"some college but no degree";"married civilian spouse present";"executive admin and managerial";"white";"male";"full time schedules";5178;0;"nonmover";"adult";"united states";"<=50k";36;"husband"
"private";"associates degree occup /vocational";"separated";"precision production craft & repair";"white";"male";"children or armed forces";0;2444;"indiana";"adult";"united states";">50k";33;"husband"
"self employed not incorporated";"bachelors degree(ba ab bs)";"never married";"sales";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";27;"unmarried"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"technicians and related support";"asian or pacific islander";"female";"full time schedules";0;0;"nonmover";"adult";"philippines";"<=50k";50;"husband"
"private";"some college but no degree";"married civilian spouse present";"sales";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";51;"husband"
"state government";"some college but no degree";"married civilian spouse present";"professional specialty";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";48;"husband"
"private";"some college but no degree";"never married";"sales";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";27;"husband"
"self employed not incorporated";"prof school degree (md dds dvm llb jd)";"married civilian spouse present";"sales";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";">50k";58;"husband"
"private";"10th grade";"married civilian spouse present";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";53;"husband"
"private";"bachelors degree(ba ab bs)";"never married";"adm support including clerical";"black";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";33;"husband"
"private";"5th or 6th grade";"married civilian spouse present";"handlers equip cleaners etc";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"mexico";"<=50k";40;"wife"
"private";"high school graduate";"never married";"other service";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";25;"own child"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";22;"wife"
"private";"high school graduate";"married civilian spouse present";"sales";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";40;"husband"
"state government";"11th grade";"married civilian spouse present";"adm support including clerical";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";49;"husband"
"private";"doctorate degree(phd edd)";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";76;"wife"
"private";"some college but no degree";"never married";"executive admin and managerial";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";21;"own child"
"local government";"bachelors degree(ba ab bs)";"married civilian spouse present";"professional specialty";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";34;"wife"
"private";"11th grade";"married civilian spouse present";"transportation and material moving";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";31;"wife"
"private";"some college but no degree";"never married";"other service";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";19;"own child"
"private";"some college but no degree";"never married";"executive admin and managerial";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";43;"husband"
"self employed not incorporated";"9th grade";"married civilian spouse present";"precision production craft & repair";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"dominican republic";"<=50k";39;"husband"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";36;"wife"
"private";"1st 2nd 3rd or 4th grade";"never married";"other service";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"el salvador";"<=50k";38;"husband"
"private";"high school graduate";"divorced";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"nevada";"adult";"united states";"<=50k";49;"husband"
"self employed incorporated";"prof school degree (md dds dvm llb jd)";"married civilian spouse present";"professional specialty";"white";"female";"full time schedules";0;0;"nonmover";"adult";"canada";">50k";45;"wife"
"private";"associates degree academic program";"never married";"other service";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"scotland";"<=50k";33;"husband"
"self employed not incorporated";"high school graduate";"widowed";"executive admin and managerial";"white";"female";"pt for econ reasons usually pt";0;0;"nonmover";"adult";"united states";"<=50k";62;"husband"
"private";"bachelors degree(ba ab bs)";"never married";"executive admin and managerial";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";23;"own child"
"private";"high school graduate";"married civilian spouse present";"machine operators assmblrs & inspctrs";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";36;"husband"
"private";"11th grade";"divorced";"other service";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";28;"unmarried"
"local government";"high school graduate";"married civilian spouse present";"other service";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";58;"wife"
"self employed not incorporated";"high school graduate";"never married";"precision production craft & repair";"black";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";25;"husband"
"self employed not incorporated";"prof school degree (md dds dvm llb jd)";"married civilian spouse present";"professional specialty";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";48;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"professional specialty";"white";"female";"unemployed part  time";0;0;"nonmover";"adult";"united states";"<=50k";44;"wife"
"private";"some college but no degree";"divorced";"executive admin and managerial";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"mexico";"<=50k";45;"husband"
"state government";"some college but no degree";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";54;"wife"
"self employed not incorporated";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"mexico";"<=50k";30;"own child"
"state government";"associates degree occup /vocational";"married a f spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"tennessee";"adult";"united states";"<=50k";23;"husband"
"private";"high school graduate";"married civilian spouse present";"transportation and material moving";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";37;"husband"
"state government";"some college but no degree";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";59;"husband"
"self employed not incorporated";"bachelors degree(ba ab bs)";"never married";"professional specialty";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";45;"unmarried"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"professional specialty";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";43;"wife"
"private";"high school graduate";"never married";"executive admin and managerial";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";28;"husband"
"state government";"some college but no degree";"never married";"other service";"amer indian aleut or eskimo";"male";"full time schedules";0;0;"nonmover";"adult";"united states";">50k";41;"own child"
"private";"prof school degree (md dds dvm llb jd)";"married civilian spouse present";"other service";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";37;"husband"
"private";"some college but no degree";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";28;"wife"
"private";"11th grade";"never married";"sales";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";18;"own child"
"private";"associates degree occup /vocational";"never married";"other service";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";26;"unmarried"
"private";"some college but no degree";"married civilian spouse present";"sales";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";72;"husband"
"private";"some college but no degree";"never married";"executive admin and managerial";"white";"male";"full time schedules";0;0;"nonmover";"adult";"guatemala";"<=50k";22;"own child"
"private";"associates degree occup /vocational";"never married";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";24;"own child"
"private";"9th grade";"never married";"adm support including clerical";"white";"male";"not in labor force";0;0;"nonmover";"both parents present";"united states";"<=50k";16;"own child"
"federal government";"prof school degree (md dds dvm llb jd)";"never married";"professional specialty";"white";"male";"children or armed forces";0;0;"utah";"adult";"united states";"<=50k";28;"unmarried"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"other";"female";"full time schedules";7298;0;"nonmover";"adult";"ecuador";"<=50k";38;"husband"
"private";"associates degree occup /vocational";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";37;"wife"
"federal government";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";43;"wife"
"private";"high school graduate";"married civilian spouse present";"machine operators assmblrs & inspctrs";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";46;"husband"
"private";"high school graduate";"divorced";"private household services";"white";"female";"children or armed forces";0;0;"colorado";"adult";"united states";"<=50k";34;"unmarried"
"private";"some college but no degree";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"mexico";"<=50k";27;"wife"
"self employed not incorporated";"high school graduate";"married civilian spouse present";"sales";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";60;"wife"
"private";"some college but no degree";"never married";"sales";"black";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";29;"own child"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"sales";"white";"male";"children or armed forces";15024;0;"nonmover";"adult";"united states";">50k";35;"husband"
"local government";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"professional specialty";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";44;"wife"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";33;"wife"
"private";"associates degree occup /vocational";"married civilian spouse present";"sales";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";41;"husband"
"private";"high school graduate";"married civilian spouse present";"machine operators assmblrs & inspctrs";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";42;"wife"
"private";"prof school degree (md dds dvm llb jd)";"married civilian spouse present";"professional specialty";"black";"female";"pt for econ reasons usually pt";0;0;"nonmover";"adult";"united states";">50k";36;"wife"
"private";"associates degree occup /vocational";"divorced";"farming forestry and fishing";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";34;"husband"
"self employed not incorporated";"doctorate degree(phd edd)";"never married";"professional specialty";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";41;"husband"
"local government";"associates degree occup /vocational";"married civilian spouse present";"other service";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";43;"wife"
"private";"high school graduate";"never married";"farming forestry and fishing";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";31;"husband"
"private";"associates degree academic program";"married civilian spouse present";"professional specialty";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";43;"wife"
"federal government";"bachelors degree(ba ab bs)";"married civilian spouse present";"executive admin and managerial";"other";"male";"children or armed forces";0;0;"nonmover";"adult";"peru";"<=50k";47;"husband"
"private";"some college but no degree";"never married";"machine operators assmblrs & inspctrs";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";41;"husband"
"private";"bachelors degree(ba ab bs)";"married spouse absent";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";31;"unmarried"
"federal government";"high school graduate";"widowed";"executive admin and managerial";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";63;"husband"
"private";"some college but no degree";"never married";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";22;"husband"
"private";"some college but no degree";"married civilian spouse present";"sales";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";32;"wife"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";">50k";34;"husband"
"private";"7th and 8th grade";"married civilian spouse present";"executive admin and managerial";"asian or pacific islander";"male";"full time schedules";0;0;"nonmover";"adult";"outlying u s (guam usvi etc)";"<=50k";46;"husband"
"private";"high school graduate";"widowed";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";70;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"executive admin and managerial";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";35;"wife"
"self employed incorporated";"some college but no degree";"married civilian spouse present";"executive admin and managerial";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";38;"husband"
"private";"7th and 8th grade";"married civilian spouse present";"other service";"white";"male";"children or armed forces";0;0;"kentucky";"adult";"mexico";"<=50k";26;"husband"
"self employed not incorporated";"some college but no degree";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";31;"husband"
"private";"11th grade";"never married";"handlers equip cleaners etc";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";18;"own child"
"local government";"high school graduate";"married civilian spouse present";"transportation and material moving";"black";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";62;"wife"
"private";"some college but no degree";"never married";"adm support including clerical";"white";"female";"pt for non econ reasons usually ft";0;0;"nonmover";"adult";"united states";"<=50k";22;"own child"
"private";"some college but no degree";"divorced";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";67;"husband"
"self employed not incorporated";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";26;"wife"
"self employed not incorporated";"12th grade";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";27;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"professional specialty";"white";"female";"children or armed forces";0;0;"indiana";"adult";"united states";"<=50k";45;"wife"
"private";"10th grade";"married civilian spouse present";"sales";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";23;"wife"
"private";"some college but no degree";"never married";"other service";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";42;"own child"
"self employed not incorporated";"high school graduate";"married civilian spouse present";"farming forestry and fishing";"white";"female";"pt for non econ reasons usually ft";0;0;"nonmover";"adult";"united states";"<=50k";48;"wife"
"private";"high school graduate";"married civilian spouse present";"sales";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";26;"wife"
"private";"associates degree academic program";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";32;"wife"
"private";"high school graduate";"never married";"adm support including clerical";"white";"male";"unemployed full time";0;0;"nonmover";"adult";"united states";"<=50k";20;"other relative"
"state government";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"professional specialty";"white";"female";"children or armed forces";5178;0;"nonmover";"adult";"united states";"<=50k";39;"husband"
"private";"bachelors degree(ba ab bs)";"never married";"handlers equip cleaners etc";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";26;"own child"
"private";"associates degree occup /vocational";"divorced";"machine operators assmblrs & inspctrs";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";30;"husband"
"state government";"some college but no degree";"married civilian spouse present";"adm support including clerical";"asian or pacific islander";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";28;"husband"
"private";"high school graduate";"married civilian spouse present";"sales";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";37;"husband"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";42;"husband"
"private";"some college but no degree";"never married";"farming forestry and fishing";"white";"male";"pt for non econ reasons usually ft";0;0;"nonmover";"adult";"united states";"<=50k";21;"husband"
"federal government";"bachelors degree(ba ab bs)";"married civilian spouse present";"professional specialty";"asian or pacific islander";"female";"full time schedules";0;0;"nonmover";"adult";"philippines";"<=50k";45;"wife"
"state government";"bachelors degree(ba ab bs)";"never married";"professional specialty";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";25;"husband"
"private";"some college but no degree";"never married";"technicians and related support";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";25;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"executive admin and managerial";"white";"male";"full time schedules";15024;0;"nonmover";"adult";"united states";">50k";48;"husband"
"private";"some college but no degree";"never married";"sales";"asian or pacific islander";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";22;"own child"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";59;"husband"
"private";"some college but no degree";"separated";"sales";"white";"female";"full time schedules";1831;0;"nonmover";"adult";"united states";"<=50k";30;"husband"
"private";"some college but no degree";"divorced";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";31;"own child"
"private";"some college but no degree";"married civilian spouse present";"adm support including clerical";"asian or pacific islander";"female";"children or armed forces";0;0;"california";"adult";"vietnam";"<=50k";23;"wife"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"other service";"asian or pacific islander";"female";"children or armed forces";0;0;"nonmover";"adult";"china";"<=50k";24;"wife"
"private";"associates degree occup /vocational";"never married";"other service";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";19;"own child"
"private";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"other service";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";52;"wife"
"private";"some college but no degree";"married civilian spouse present";"handlers equip cleaners etc";"black";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";27;"husband"
"local government";"high school graduate";"married civilian spouse present";"protective services";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";41;"husband"
"private";"bachelors degree(ba ab bs)";"never married";"professional specialty";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";33;"husband"
"private";"high school graduate";"married civilian spouse present";"handlers equip cleaners etc";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";27;"wife"
"private";"7th and 8th grade";"married civilian spouse present";"handlers equip cleaners etc";"white";"male";"full time schedules";0;0;"nonmover";"adult";"mexico";"<=50k";27;"other relative"
"private";"associates degree academic program";"married civilian spouse present";"private household services";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"poland";"<=50k";58;"other relative"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"dominican republic";"<=50k";27;"wife"
"local government";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"professional specialty";"black";"female";"pt for econ reasons usually ft";0;0;"nonmover";"adult";"united states";">50k";58;"husband"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";34;"husband"
"private";"some college but no degree";"married civilian spouse present";"machine operators assmblrs & inspctrs";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";46;"wife"
"private";"associates degree occup /vocational";"never married";"handlers equip cleaners etc";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";22;"husband"
"private";"9th grade";"married civilian spouse present";"farming forestry and fishing";"black";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";63;"husband"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"pt for non econ reasons usually ft";0;0;"nonmover";"adult";"united states";"<=50k";46;"wife"
"private";"some college but no degree";"never married";"sales";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";18;"own child"
"private";"high school graduate";"divorced";"executive admin and managerial";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";34;"husband"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";25;"wife"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"adm support including clerical";"white";"male";"full time schedules";3137;0;"nonmover";"adult";"united states";"<=50k";35;"husband"
"private";"5th or 6th grade";"never married";"handlers equip cleaners etc";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";76;"husband"
"private";"bachelors degree(ba ab bs)";"never married";"sales";"white";"female";"children or armed forces";0;0;"minnesota";"adult";"united states";"<=50k";22;"own child"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";40;"wife"
"private";"5th or 6th grade";"never married";"farming forestry and fishing";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";24;"other relative"
"self employed incorporated";"bachelors degree(ba ab bs)";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";10605;0;"nonmover";"adult";"united states";">50k";66;"husband"
"local government";"10th grade";"married civilian spouse present";"executive admin and managerial";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";53;"husband"
"private";"some college but no degree";"never married";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";23;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"professional specialty";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";29;"wife"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"nicaragua";"<=50k";43;"husband"
"self employed not incorporated";"high school graduate";"married civilian spouse present";"other service";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";35;"wife"
