"workclass";"education";"marital_status";"major_ind_code";"occupation";"race";"gender";"full_or_part_emp";"capital_gains";"capital_losses";"state_prev_res";"det_hh_summ";"fam_under_18";"country_self";"year";"income_50k";"YoB"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"social services";"professional specialty";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";52
"self employed incorporated";"some college but no degree";"married civilian spouse present";"business and repair services";"executive admin and managerial";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;">50k";53
"private";"high school graduate";"separated";"private household services";"private household services";"amer indian aleut or eskimo";"female";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";34
"private";"associates degree academic program";"married civilian spouse present";"manufacturing durable goods";"precision production craft & repair";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";53
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"wholesale trade";"sales";"white";"male";"children or armed forces";3464;0;;"householder";;"united states";94;"<=50k";55
"self employed incorporated";"bachelors degree(ba ab bs)";"divorced";"manufacturing nondurable goods";"executive admin and managerial";"white";"female";"full time schedules";0;1719;;"householder";;"united states";95;"<=50k";46
"private";"high school graduate";"married spouse absent";"construction";"precision production craft & repair";"white";"male";"full time schedules";0;0;;"child 18 or older";;"united states";95;"<=50k";70
"private";"12th grade";"married civilian spouse present";"utilities and sanitary services";"precision production craft & repair";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;">50k";48
"self employed incorporated";"some college but no degree";"married civilian spouse present";"retail trade";"executive admin and managerial";"white";"male";"full time schedules";5178;0;;"householder";;"united states";95;"<=50k";59
"private";"associates degree occup /vocational";"separated";"communications";"precision production craft & repair";"white";"male";"children or armed forces";0;2444;"indiana";"householder";;"united states";94;">50k";61
"self employed not incorporated";"bachelors degree(ba ab bs)";"never married";"retail trade";"sales";"white";"male";"children or armed forces";0;0;;"nonrelative of householder";;"united states";94;"<=50k";67
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"hospital services";"technicians and related support";"asian or pacific islander";"female";"full time schedules";0;0;;"householder";;"philippines";95;"<=50k";45
"private";"some college but no degree";"married civilian spouse present";"wholesale trade";"sales";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";44
"state government";"some college but no degree";"married civilian spouse present";"education";"professional specialty";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";47
"private";"some college but no degree";"never married";"retail trade";"sales";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";68
"self employed not incorporated";"prof school degree (md dds dvm llb jd)";"married civilian spouse present";"finance insurance and real estate";"sales";"white";"female";"full time schedules";0;0;;"householder";;"united states";95;">50k";37
"private";"10th grade";"married civilian spouse present";"construction";"precision production craft & repair";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";42
"private";"bachelors degree(ba ab bs)";"never married";"other professional services";"adm support including clerical";"black";"female";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";62
"private";"5th or 6th grade";"married civilian spouse present";"manufacturing nondurable goods";"handlers equip cleaners etc";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"mexico";94;"<=50k";54
"private";"high school graduate";"never married";"retail trade";"other service";"white";"female";"children or armed forces";0;0;;"child 18 or older";;"united states";94;"<=50k";69
"private";"high school graduate";"married civilian spouse present";"finance insurance and real estate";"adm support including clerical";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";72
"private";"high school graduate";"married civilian spouse present";"transportation";"sales";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";54
"state government";"11th grade";"married civilian spouse present";"transportation";"adm support including clerical";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";45
"private";"doctorate degree(phd edd)";"married civilian spouse present";"education";"executive admin and managerial";"white";"male";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";18
"private";"some college but no degree";"never married";"retail trade";"executive admin and managerial";"white";"male";"full time schedules";0;0;;"child 18 or older";;"united states";95;"<=50k";74
"local government";"bachelors degree(ba ab bs)";"married civilian spouse present";"education";"professional specialty";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";60
"private";"11th grade";"married civilian spouse present";"manufacturing durable goods";"transportation and material moving";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";63
"private";"some college but no degree";"never married";"personal services except private hh";"other service";"white";"female";"full time schedules";0;0;;"child 18 or older";;"united states";95;"<=50k";76
"private";"some college but no degree";"never married";"finance insurance and real estate";"executive admin and managerial";"white";"female";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";51
"self employed not incorporated";"9th grade";"married civilian spouse present";"construction";"precision production craft & repair";"white";"male";"children or armed forces";0;0;;"householder";;"dominican republic";94;"<=50k";55
"private";"high school graduate";"married civilian spouse present";"manufacturing durable goods";"adm support including clerical";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";58
"private";"1st 2nd 3rd or 4th grade";"never married";"personal services except private hh";"other service";"white";"female";"children or armed forces";0;0;;"householder";;"el salvador";94;"<=50k";56
"private";"high school graduate";"divorced";"construction";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"nevada";"householder";;"united states";94;"<=50k";45
"self employed incorporated";"prof school degree (md dds dvm llb jd)";"married civilian spouse present";"other professional services";"professional specialty";"white";"female";"full time schedules";0;0;;"spouse of householder";;"canada";95;">50k";50
"private";"associates degree academic program";"never married";"personal services except private hh";"other service";"white";"male";"children or armed forces";0;0;;"householder";;"scotland";94;"<=50k";61
"self employed not incorporated";"high school graduate";"widowed";"transportation";"executive admin and managerial";"white";"female";"pt for econ reasons usually pt";0;0;;"householder";;"united states";95;"<=50k";33
"private";"bachelors degree(ba ab bs)";"never married";"retail trade";"executive admin and managerial";"white";"female";"full time schedules";0;0;;"child 18 or older";;"united states";95;"<=50k";72
"private";"high school graduate";"married civilian spouse present";"manufacturing durable goods";"machine operators assmblrs & inspctrs";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";58
"private";"11th grade";"divorced";"medical except hospital";"other service";"white";"male";"full time schedules";0;0;;"nonrelative of householder";;"united states";95;"<=50k";67
"local government";"high school graduate";"married civilian spouse present";"education";"other service";"white";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";37
"self employed not incorporated";"high school graduate";"never married";"construction";"precision production craft & repair";"black";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";69
"self employed not incorporated";"prof school degree (md dds dvm llb jd)";"married civilian spouse present";"other professional services";"professional specialty";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";47
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"entertainment";"professional specialty";"white";"female";"unemployed part  time";0;0;;"spouse of householder";;"united states";95;"<=50k";51
"private";"some college but no degree";"divorced";"finance insurance and real estate";"executive admin and managerial";"white";"female";"children or armed forces";0;0;;"householder";;"mexico";94;"<=50k";49
"state government";"some college but no degree";"married civilian spouse present";"education";"adm support including clerical";"white";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";41
"self employed not incorporated";"high school graduate";"married civilian spouse present";"business and repair services";"adm support including clerical";"white";"female";"children or armed forces";0;0;;"child 18 or older";;"mexico";94;"<=50k";64
"state government";"associates degree occup /vocational";"married a f spouse present";"education";"adm support including clerical";"white";"female";"children or armed forces";0;0;"tennessee";"householder";;"united states";94;"<=50k";71
"private";"high school graduate";"married civilian spouse present";"transportation";"transportation and material moving";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";57
"state government";"some college but no degree";"married civilian spouse present";"construction";"executive admin and managerial";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";35
"self employed not incorporated";"bachelors degree(ba ab bs)";"never married";"entertainment";"professional specialty";"white";"male";"children or armed forces";0;0;;"nonrelative of householder";;"united states";94;"<=50k";49
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"education";"professional specialty";"white";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";52
"private";"high school graduate";"never married";"manufacturing durable goods";"executive admin and managerial";"white";"female";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";67
"state government";"some college but no degree";"never married";"transportation";"other service";"amer indian aleut or eskimo";"male";"full time schedules";0;0;;"child 18 or older";;"united states";95;">50k";54
"private";"prof school degree (md dds dvm llb jd)";"married civilian spouse present";"business and repair services";"other service";"white";"female";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";57
"private";"some college but no degree";"married civilian spouse present";"retail trade";"executive admin and managerial";"white";"male";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";66
"private";"11th grade";"never married";"retail trade";"sales";"white";"male";"full time schedules";0;0;;"child 18 or older";;"united states";95;"<=50k";77
"private";"associates degree occup /vocational";"never married";"retail trade";"other service";"white";"female";"full time schedules";0;0;;"nonrelative of householder";;"united states";95;"<=50k";69
"private";"some college but no degree";"married civilian spouse present";"business and repair services";"sales";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";23
"private";"some college but no degree";"never married";"wholesale trade";"executive admin and managerial";"white";"male";"full time schedules";0;0;;"child 18 or older";;"guatemala";95;"<=50k";73
"private";"associates degree occup /vocational";"never married";"manufacturing durable goods";"adm support including clerical";"white";"female";"children or armed forces";0;0;;"child 18 or older";;"united states";94;"<=50k";70
"private";"9th grade";"never married";"business and repair services";"adm support including clerical";"white";"male";"not in labor force";0;0;;"child under 18 never married";"both parents present";"united states";95;"<=50k";79
"federal government";"prof school degree (md dds dvm llb jd)";"never married";"education";"professional specialty";"white";"male";"children or armed forces";0;0;"utah";"nonrelative of householder";;"united states";94;"<=50k";66
"private";"high school graduate";"married civilian spouse present";"manufacturing durable goods";"adm support including clerical";"other";"female";"full time schedules";7298;0;;"householder";;"ecuador";95;"<=50k";57
"private";"associates degree occup /vocational";"married civilian spouse present";"finance insurance and real estate";"adm support including clerical";"white";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";58
"federal government";"high school graduate";"married civilian spouse present";"public administration";"adm support including clerical";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";51
"private";"high school graduate";"married civilian spouse present";"manufacturing durable goods";"machine operators assmblrs & inspctrs";"white";"female";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";49
"private";"high school graduate";"divorced";"private household services";"private household services";"white";"female";"children or armed forces";0;0;"colorado";"nonrelative of householder";;"united states";94;"<=50k";60
"private";"some college but no degree";"married civilian spouse present";"finance insurance and real estate";"adm support including clerical";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"mexico";94;"<=50k";67
"self employed not incorporated";"high school graduate";"married civilian spouse present";"retail trade";"sales";"white";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";35
"private";"some college but no degree";"never married";"business and repair services";"sales";"black";"male";"full time schedules";0;0;;"child 18 or older";;"united states";95;"<=50k";66
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"retail trade";"sales";"white";"male";"children or armed forces";15024;0;;"householder";;"united states";94;">50k";59
"local government";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"education";"professional specialty";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";50
"private";"high school graduate";"married civilian spouse present";"finance insurance and real estate";"adm support including clerical";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";61
"private";"associates degree occup /vocational";"married civilian spouse present";"wholesale trade";"sales";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";53
"private";"high school graduate";"married civilian spouse present";"retail trade";"machine operators assmblrs & inspctrs";"white";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";53
"private";"prof school degree (md dds dvm llb jd)";"married civilian spouse present";"finance insurance and real estate";"professional specialty";"black";"female";"pt for econ reasons usually pt";0;0;;"spouse of householder";;"united states";95;">50k";59
"private";"associates degree occup /vocational";"divorced";"agriculture";"farming forestry and fishing";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";61
"self employed not incorporated";"doctorate degree(phd edd)";"never married";"other professional services";"professional specialty";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";53
"local government";"associates degree occup /vocational";"married civilian spouse present";"education";"other service";"white";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";52
"private";"high school graduate";"never married";"agriculture";"farming forestry and fishing";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";63
"private";"associates degree academic program";"married civilian spouse present";"hospital services";"professional specialty";"white";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";52
"federal government";"bachelors degree(ba ab bs)";"married civilian spouse present";"public administration";"executive admin and managerial";"other";"male";"children or armed forces";0;0;;"householder";;"peru";94;"<=50k";47
"private";"some college but no degree";"never married";"manufacturing durable goods";"machine operators assmblrs & inspctrs";"white";"female";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";53
"private";"bachelors degree(ba ab bs)";"married spouse absent";"business and repair services";"adm support including clerical";"white";"female";"children or armed forces";0;0;;"nonrelative of householder";;"united states";94;"<=50k";63
"federal government";"high school graduate";"widowed";"transportation";"executive admin and managerial";"white";"female";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";32
"private";"some college but no degree";"never married";"business and repair services";"precision production craft & repair";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";73
"private";"some college but no degree";"married civilian spouse present";"retail trade";"sales";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";62
"private";"high school graduate";"married civilian spouse present";"manufacturing nondurable goods";"precision production craft & repair";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;">50k";61
"private";"7th and 8th grade";"married civilian spouse present";"finance insurance and real estate";"executive admin and managerial";"asian or pacific islander";"male";"full time schedules";0;0;;"householder";;"outlying u s (guam usvi etc)";95;"<=50k";49
"private";"high school graduate";"widowed";"finance insurance and real estate";"adm support including clerical";"white";"female";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";25
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"retail trade";"executive admin and managerial";"white";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";60
"self employed incorporated";"some college but no degree";"married civilian spouse present";"business and repair services";"executive admin and managerial";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";57
"private";"7th and 8th grade";"married civilian spouse present";"manufacturing nondurable goods";"other service";"white";"male";"children or armed forces";0;0;"kentucky";"householder";;"mexico";94;"<=50k";68
"self employed not incorporated";"some college but no degree";"married civilian spouse present";"retail trade";"adm support including clerical";"white";"female";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";64
"private";"11th grade";"never married";"retail trade";"handlers equip cleaners etc";"white";"male";"children or armed forces";0;0;;"child 18 or older";;"united states";94;"<=50k";76
"local government";"high school graduate";"married civilian spouse present";"public administration";"transportation and material moving";"black";"male";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";33
"private";"some college but no degree";"never married";"business and repair services";"adm support including clerical";"white";"female";"pt for non econ reasons usually ft";0;0;;"child 18 or older";;"united states";95;"<=50k";73
"private";"some college but no degree";"divorced";"finance insurance and real estate";"adm support including clerical";"white";"female";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";27
"self employed not incorporated";"high school graduate";"married civilian spouse present";"manufacturing durable goods";"adm support including clerical";"white";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";69
"self employed not incorporated";"12th grade";"married civilian spouse present";"construction";"executive admin and managerial";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";67
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"business and repair services";"professional specialty";"white";"female";"children or armed forces";0;0;"indiana";"spouse of householder";;"united states";94;"<=50k";49
"private";"10th grade";"married civilian spouse present";"retail trade";"sales";"white";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";72
"private";"some college but no degree";"never married";"business and repair services";"other service";"white";"male";"children or armed forces";0;0;;"child 18 or older";;"united states";94;"<=50k";52
"self employed not incorporated";"high school graduate";"married civilian spouse present";"agriculture";"farming forestry and fishing";"white";"female";"pt for non econ reasons usually ft";0;0;;"spouse of householder";;"united states";95;"<=50k";47
"private";"high school graduate";"married civilian spouse present";"retail trade";"sales";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";68
"private";"associates degree academic program";"married civilian spouse present";"entertainment";"adm support including clerical";"white";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";63
"private";"high school graduate";"never married";"retail trade";"adm support including clerical";"white";"male";"unemployed full time";0;0;;"other relative of householder";;"united states";95;"<=50k";75
"state government";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"education";"professional specialty";"white";"female";"children or armed forces";5178;0;;"householder";;"united states";94;"<=50k";55
"private";"bachelors degree(ba ab bs)";"never married";"retail trade";"handlers equip cleaners etc";"white";"male";"children or armed forces";0;0;;"child 18 or older";;"united states";94;"<=50k";68
"private";"associates degree occup /vocational";"divorced";"manufacturing durable goods";"machine operators assmblrs & inspctrs";"white";"female";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";65
"state government";"some college but no degree";"married civilian spouse present";"education";"adm support including clerical";"asian or pacific islander";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";66
"private";"high school graduate";"married civilian spouse present";"retail trade";"sales";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";57
"private";"high school graduate";"married civilian spouse present";"retail trade";"precision production craft & repair";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";53
"private";"some college but no degree";"never married";"agriculture";"farming forestry and fishing";"white";"male";"pt for non econ reasons usually ft";0;0;;"householder";;"united states";95;"<=50k";74
"federal government";"bachelors degree(ba ab bs)";"married civilian spouse present";"hospital services";"professional specialty";"asian or pacific islander";"female";"full time schedules";0;0;;"spouse of householder";;"philippines";95;"<=50k";50
"state government";"bachelors degree(ba ab bs)";"never married";"public administration";"professional specialty";"white";"female";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";70
"private";"some college but no degree";"never married";"medical except hospital";"technicians and related support";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";69
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"finance insurance and real estate";"executive admin and managerial";"white";"male";"full time schedules";15024;0;;"householder";;"united states";95;">50k";47
"private";"some college but no degree";"never married";"retail trade";"sales";"asian or pacific islander";"male";"full time schedules";0;0;;"child 18 or older";;"united states";95;"<=50k";73
"private";"high school graduate";"married civilian spouse present";"construction";"precision production craft & repair";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";35
"private";"some college but no degree";"separated";"retail trade";"sales";"white";"female";"full time schedules";1831;0;;"householder";;"united states";95;"<=50k";65
"private";"some college but no degree";"divorced";"finance insurance and real estate";"adm support including clerical";"white";"female";"full time schedules";0;0;;"child 18 or older";;"united states";95;"<=50k";64
"private";"some college but no degree";"married civilian spouse present";"retail trade";"adm support including clerical";"asian or pacific islander";"female";"children or armed forces";0;0;"california";"spouse of householder";;"vietnam";94;"<=50k";71
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"retail trade";"other service";"asian or pacific islander";"female";"children or armed forces";0;0;;"spouse of householder";;"china";94;"<=50k";70
"private";"associates degree occup /vocational";"never married";"personal services except private hh";"other service";"white";"female";"full time schedules";0;0;;"child 18 or older";;"united states";95;"<=50k";76
"private";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"personal services except private hh";"other service";"white";"male";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";42
"private";"some college but no degree";"married civilian spouse present";"manufacturing durable goods";"handlers equip cleaners etc";"black";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";68
"local government";"high school graduate";"married civilian spouse present";"public administration";"protective services";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";54
"private";"bachelors degree(ba ab bs)";"never married";"manufacturing durable goods";"professional specialty";"white";"female";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";62
"private";"high school graduate";"married civilian spouse present";"transportation";"handlers equip cleaners etc";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";67
"private";"7th and 8th grade";"married civilian spouse present";"agriculture";"handlers equip cleaners etc";"white";"male";"full time schedules";0;0;;"other relative of householder";;"mexico";95;"<=50k";68
"private";"associates degree academic program";"married civilian spouse present";"private household services";"private household services";"white";"female";"children or armed forces";0;0;;"other relative of householder";;"poland";94;"<=50k";36
"private";"high school graduate";"married civilian spouse present";"manufacturing durable goods";"precision production craft & repair";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"dominican republic";94;"<=50k";67
"local government";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"education";"professional specialty";"black";"female";"pt for econ reasons usually ft";0;0;;"householder";;"united states";95;">50k";37
"private";"high school graduate";"married civilian spouse present";"utilities and sanitary services";"precision production craft & repair";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";61
"private";"some college but no degree";"married civilian spouse present";"manufacturing durable goods";"machine operators assmblrs & inspctrs";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";48
"private";"associates degree occup /vocational";"never married";"retail trade";"handlers equip cleaners etc";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";72
"private";"9th grade";"married civilian spouse present";"agriculture";"farming forestry and fishing";"black";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";31
"private";"high school graduate";"married civilian spouse present";"utilities and sanitary services";"precision production craft & repair";"white";"male";"pt for non econ reasons usually ft";0;0;;"spouse of householder";;"united states";95;"<=50k";49
"private";"some college but no degree";"never married";"personal services except private hh";"sales";"white";"male";"full time schedules";0;0;;"child 18 or older";;"united states";95;"<=50k";77
"private";"high school graduate";"divorced";"medical except hospital";"executive admin and managerial";"white";"female";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";61
"private";"high school graduate";"married civilian spouse present";"manufacturing nondurable goods";"adm support including clerical";"white";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";70
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"manufacturing durable goods";"adm support including clerical";"white";"male";"full time schedules";3137;0;;"householder";;"united states";95;"<=50k";60
"private";"5th or 6th grade";"never married";"manufacturing nondurable goods";"handlers equip cleaners etc";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";18
"private";"bachelors degree(ba ab bs)";"never married";"retail trade";"sales";"white";"female";"children or armed forces";0;0;"minnesota";"child 18 or older";;"united states";94;"<=50k";72
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"manufacturing durable goods";"adm support including clerical";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";54
"private";"5th or 6th grade";"never married";"agriculture";"farming forestry and fishing";"white";"male";"full time schedules";0;0;;"other relative of householder";;"united states";95;"<=50k";71
