age;workclass;education;marital_status;occupation;relationship;race;gender;capital_gains;capital_losses;hours_per_week;country_self;income_50k
41;private;some college but no degree;divorced;technicians and related support;not in family;white;female;0;0;40;united states;<=50k
41;private;high school graduate;divorced;handlers equip cleaners etc;unmarried;white;female;0;0;40;united states;<=50k
69;private;high school graduate;divorced;adm support including clerical;not in family;white;female;0;0;25;united states;<=50k
48;federal government;doctorate degree(phd edd);married civilian spouse present;professional specialty;wife;white;female;0;0;40;united states;>50k
28;private;high school graduate;never married;professional specialty;own child;white;male;0;0;40;united states;<=50k
27;self employed not incorporated;high school graduate;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;60;ireland;>50k
41;private;masters degree(ma ms meng med msw mba);married civilian spouse present;professional specialty;husband;white;male;0;2415;50;united states;>50k
41;private;some college but no degree;married civilian spouse present;adm support including clerical;husband;white;male;0;0;40;united states;<=50k
24;private;high school graduate;never married;precision production craft & repair;unmarried;black;female;0;0;40;united states;<=50k
42;self employed incorporated;doctorate degree(phd edd);married civilian spouse present;professional specialty;husband;white;male;0;0;41;united states;>50k
57;private;high school graduate;married civilian spouse present;precision production craft & repair;husband;black;male;0;0;48;united states;<=50k
30;private;associates degree academic program;never married;professional specialty;not in family;white;female;0;0;40;united states;<=50k
36;private;high school graduate;married civilian spouse present;sales;husband;white;male;0;0;60;united states;>50k
49;private;7th and 8th grade;married civilian spouse present;machine operators assmblrs & inspctrs;husband;black;male;0;0;40;united states;<=50k
33;private;high school graduate;married civilian spouse present;machine operators assmblrs & inspctrs;wife;white;female;0;0;35;united states;<=50k
23;private;10th grade;married civilian spouse present;farming forestry and fishing;husband;white;male;0;0;40;united states;<=50k
46;private;masters degree(ma ms meng med msw mba);married civilian spouse present;professional specialty;husband;white;male;0;0;40;united states;<=50k
18;private;some college but no degree;never married;adm support including clerical;own child;asian or pacific islander;female;0;0;22;germany;<=50k
40;private;high school graduate;married civilian spouse present;executive admin and managerial;husband;white;male;7688;0;55;united states;>50k
43;self employed incorporated;high school graduate;married civilian spouse present;executive admin and managerial;husband;white;male;0;1887;45;united states;>50k
34;private;masters degree(ma ms meng med msw mba);never married;professional specialty;own child;white;female;0;0;30;united states;<=50k
47;self employed not incorporated;high school graduate;widowed;executive admin and managerial;not in family;white;female;0;0;30;united states;<=50k
44;private;associates degree occup /vocational;widowed;executive admin and managerial;unmarried;white;female;0;0;30;united states;<=50k
33;private;high school graduate;married civilian spouse present;sales;husband;white;male;0;0;40;united states;>50k
55;private;bachelors degree(ba ab bs);married civilian spouse present;executive admin and managerial;husband;white;male;15024;0;50;united states;>50k
19;private;high school graduate;never married;sales;not in family;white;male;2907;0;30;united states;<=50k
28;private;some college but no degree;never married;other service;not in family;black;male;0;0;14;united states;<=50k
27;private;11th grade;married civilian spouse present;other service;wife;black;female;0;0;32;united states;<=50k
50;private;7th and 8th grade;married civilian spouse present;machine operators assmblrs & inspctrs;husband;white;male;0;0;20;united states;<=50k
22;private;11th grade;never married;precision production craft & repair;unmarried;white;male;0;0;40;united states;<=50k
40;state government;bachelors degree(ba ab bs);married civilian spouse present;adm support including clerical;husband;white;male;0;1887;45;united states;>50k
25;private;some college but no degree;never married;adm support including clerical;own child;white;female;0;0;40;united states;<=50k
26;local government;high school graduate;never married;precision production craft & repair;not in family;white;male;0;0;40;united states;<=50k
22;private;bachelors degree(ba ab bs);never married;sales;not in family;white;male;0;0;25;united states;<=50k
42;private;some college but no degree;never married;handlers equip cleaners etc;unmarried;black;female;0;625;40;united states;<=50k
38;self employed incorporated;bachelors degree(ba ab bs);divorced;executive admin and managerial;not in family;white;male;0;0;40;united states;<=50k
55;private;11th grade;married civilian spouse present;other service;husband;white;male;0;0;30;united states;<=50k
32;private;high school graduate;married civilian spouse present;sales;husband;white;male;0;0;40;united states;<=50k
22;private;high school graduate;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;45;united states;<=50k
29;private;bachelors degree(ba ab bs);never married;sales;own child;white;male;0;0;40;united states;<=50k
46;state government;masters degree(ma ms meng med msw mba);married civilian spouse present;executive admin and managerial;husband;white;male;0;0;45;united states;>50k
31;private;some college but no degree;married civilian spouse present;executive admin and managerial;husband;white;male;0;0;40;united states;>50k
58;self employed not incorporated;doctorate degree(phd edd);married civilian spouse present;professional specialty;husband;white;male;0;0;16;united states;>50k
42;private;high school graduate;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;45;united states;<=50k
18;private;high school graduate;never married;handlers equip cleaners etc;unmarried;white;male;0;0;25;united states;<=50k
58;local government;high school graduate;divorced;executive admin and managerial;not in family;white;male;0;0;33;united states;<=50k
54;private;high school graduate;married civilian spouse present;professional specialty;husband;white;male;0;1887;40;united states;>50k
34;private;masters degree(ma ms meng med msw mba);never married;professional specialty;not in family;white;male;0;0;40;united states;<=50k
26;private;bachelors degree(ba ab bs);never married;adm support including clerical;not in family;white;female;0;0;40;united states;<=50k
61;private;12th grade;married civilian spouse present;executive admin and managerial;husband;white;male;0;0;60;united states;<=50k
48;local government;masters degree(ma ms meng med msw mba);separated;adm support including clerical;unmarried;black;female;0;0;40;united states;<=50k
36;private;some college but no degree;married civilian spouse present;executive admin and managerial;husband;white;male;0;0;45;united states;>50k
24;private;associates degree occup /vocational;married civilian spouse present;machine operators assmblrs & inspctrs;husband;white;male;0;0;45;united states;<=50k
40;private;some college but no degree;married civilian spouse present;machine operators assmblrs & inspctrs;husband;white;male;0;0;37;united states;<=50k
33;self employed incorporated;high school graduate;married civilian spouse present;sales;husband;white;male;0;0;50;united states;>50k
37;private;some college but no degree;married civilian spouse present;machine operators assmblrs & inspctrs;husband;white;male;0;1887;40;united states;>50k
34;private;masters degree(ma ms meng med msw mba);never married;executive admin and managerial;own child;white;male;4650;0;40;united states;<=50k
56;self employed incorporated;some college but no degree;married civilian spouse present;executive admin and managerial;husband;white;male;15024;0;40;united states;>50k
37;private;bachelors degree(ba ab bs);widowed;executive admin and managerial;not in family;white;female;0;0;55;united states;<=50k
44;private;high school graduate;divorced;sales;unmarried;black;female;0;0;40;united states;<=50k
54;private;high school graduate;divorced;handlers equip cleaners etc;not in family;white;male;0;0;45;united states;<=50k
23;private;high school graduate;never married;machine operators assmblrs & inspctrs;not in family;white;male;0;0;50;united states;<=50k
22;private;high school graduate;never married;other service;not in family;white;female;0;0;45;united states;<=50k
33;private;bachelors degree(ba ab bs);married civilian spouse present;executive admin and managerial;husband;white;male;0;1977;40;united states;>50k
39;private;bachelors degree(ba ab bs);separated;professional specialty;not in family;white;male;0;0;50;united states;>50k
47;private;some college but no degree;divorced;adm support including clerical;not in family;black;female;0;0;37;united states;<=50k
26;private;high school graduate;never married;professional specialty;unmarried;black;female;0;0;55;united states;<=50k
31;private;some college but no degree;divorced;executive admin and managerial;unmarried;white;female;0;0;40;united states;<=50k
44;private;some college but no degree;never married;transportation and material moving;not in family;white;male;0;0;45;united states;<=50k
42;self employed incorporated;prof school degree (md dds dvm llb jd);married civilian spouse present;professional specialty;wife;white;female;0;0;50;united states;>50k
19;private;high school graduate;never married;machine operators assmblrs & inspctrs;not in family;white;female;0;0;40;united states;<=50k
27;private;high school graduate;married civilian spouse present;handlers equip cleaners etc;husband;white;male;0;0;40;united states;>50k
51;local government;some college but no degree;married civilian spouse present;protective services;husband;white;male;0;0;40;united states;>50k
28;self employed incorporated;bachelors degree(ba ab bs);married civilian spouse present;executive admin and managerial;husband;white;male;0;0;50;united states;<=50k
57;private;bachelors degree(ba ab bs);divorced;precision production craft & repair;not in family;white;male;0;0;45;united states;<=50k
45;local government;bachelors degree(ba ab bs);divorced;professional specialty;unmarried;white;female;0;0;40;united states;<=50k
50;private;associates degree occup /vocational;married civilian spouse present;professional specialty;husband;white;male;0;0;40;united states;>50k
34;self employed incorporated;bachelors degree(ba ab bs);married civilian spouse present;sales;husband;white;male;0;0;54;united states;<=50k
45;private;7th and 8th grade;married civilian spouse present;precision production craft & repair;husband;black;male;0;0;40;united states;<=50k
73;local government;high school graduate;married civilian spouse present;executive admin and managerial;husband;white;male;0;0;20;united states;<=50k
34;private;bachelors degree(ba ab bs);married civilian spouse present;professional specialty;wife;white;female;0;0;50;united states;>50k
31;private;some college but no degree;married civilian spouse present;sales;husband;white;male;0;0;55;united states;>50k
19;private;11th grade;never married;sales;not in family;white;male;0;0;12;united states;<=50k
25;private;some college but no degree;never married;other service;own child;white;female;0;0;50;united states;<=50k
38;federal government;associates degree occup /vocational;divorced;precision production craft & repair;unmarried;white;female;6497;0;40;united states;<=50k
39;private;bachelors degree(ba ab bs);married civilian spouse present;transportation and material moving;husband;white;male;0;0;40;united states;<=50k
23;private;bachelors degree(ba ab bs);never married;technicians and related support;own child;black;female;0;0;32;united states;<=50k
49;private;high school graduate;married civilian spouse present;machine operators assmblrs & inspctrs;husband;white;male;0;0;40;united states;<=50k
33;federal government;high school graduate;never married;other service;not in family;white;male;0;0;32;united states;<=50k
21;private;5th or 6th grade;never married;machine operators assmblrs & inspctrs;other relative;white;male;0;0;38;mexico;<=50k
31;private;associates degree occup /vocational;separated;precision production craft & repair;not in family;white;male;0;0;40;united states;<=50k
23;private;bachelors degree(ba ab bs);never married;executive admin and managerial;not in family;white;female;0;0;45;united states;<=50k
34;private;bachelors degree(ba ab bs);married civilian spouse present;adm support including clerical;husband;asian or pacific islander;male;0;0;40;philippines;<=50k
25;private;high school graduate;never married;machine operators assmblrs & inspctrs;not in family;asian or pacific islander;female;0;0;40;philippines;<=50k
39;private;high school graduate;never married;precision production craft & repair;unmarried;white;male;0;0;40;united states;<=50k
52;self employed incorporated;high school graduate;married civilian spouse present;sales;husband;white;male;0;0;40;united states;>50k
63;local government;9th grade;married civilian spouse present;transportation and material moving;husband;white;male;7688;0;40;united states;>50k
41;private;some college but no degree;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;40;united states;<=50k
46;private;bachelors degree(ba ab bs);married civilian spouse present;professional specialty;husband;white;male;15024;0;38;united states;>50k
53;local government;high school graduate;married civilian spouse present;executive admin and managerial;husband;white;male;0;0;40;united states;<=50k
18;private;12th grade;never married;private household services;own child;white;male;0;0;40;united states;<=50k
38;private;prof school degree (md dds dvm llb jd);married civilian spouse present;professional specialty;husband;white;male;0;0;50;united states;<=50k
55;private;masters degree(ma ms meng med msw mba);never married;executive admin and managerial;unmarried;asian or pacific islander;female;0;0;50;thailand;<=50k
34;private;high school graduate;married civilian spouse present;technicians and related support;husband;white;male;0;0;40;united states;>50k
80;self employed not incorporated;high school graduate;married civilian spouse present;other service;husband;white;male;0;0;30;united states;<=50k
34;private;associates degree occup /vocational;divorced;technicians and related support;unmarried;white;female;0;0;60;united states;<=50k
52;private;some college but no degree;married civilian spouse present;technicians and related support;husband;white;male;5013;0;40;united states;<=50k
42;private;high school graduate;never married;other service;unmarried;black;female;0;0;28;haiti;<=50k
26;private;some college but no degree;never married;sales;not in family;white;female;0;0;40;united states;<=50k
31;private;high school graduate;married civilian spouse present;transportation and material moving;husband;white;male;0;0;40;united states;<=50k
25;local government;high school graduate;never married;other service;own child;white;female;0;0;35;united states;<=50k
55;self employed not incorporated;high school graduate;married civilian spouse present;precision production craft & repair;husband;white;male;0;2057;60;united states;<=50k
19;private;some college but no degree;never married;other service;own child;white;female;0;0;12;united states;<=50k
62;self employed not incorporated;some college but no degree;married civilian spouse present;transportation and material moving;husband;white;male;0;0;32;united states;<=50k
22;federal government;some college but no degree;never married;adm support including clerical;own child;white;female;0;0;20;united states;<=50k
35;private;high school graduate;married civilian spouse present;handlers equip cleaners etc;husband;white;male;0;0;40;united states;<=50k
28;private;high school graduate;married civilian spouse present;sales;own child;white;female;0;0;40;united states;<=50k
47;private;high school graduate;married civilian spouse present;transportation and material moving;husband;white;male;0;0;70;united states;>50k
44;state government;high school graduate;married civilian spouse present;machine operators assmblrs & inspctrs;husband;white;male;0;0;40;united states;<=50k
21;private;some college but no degree;never married;sales;own child;white;male;0;0;15;united states;<=50k
35;private;associates degree occup /vocational;never married;precision production craft & repair;not in family;white;male;0;0;50;united states;<=50k
24;private;bachelors degree(ba ab bs);married civilian spouse present;professional specialty;husband;white;male;0;0;40;united states;>50k
28;private;bachelors degree(ba ab bs);never married;technicians and related support;own child;white;male;0;0;50;united states;<=50k
21;private;some college but no degree;never married;machine operators assmblrs & inspctrs;other relative;white;male;0;0;35;united states;<=50k
62;federal government;some college but no degree;divorced;technicians and related support;not in family;black;male;4650;0;40;united states;<=50k
39;private;high school graduate;never married;other service;not in family;black;female;0;0;40;united states;<=50k
30;state government;high school graduate;never married;other service;not in family;white;male;0;0;40;united states;<=50k
72;self employed not incorporated;prof school degree (md dds dvm llb jd);never married;professional specialty;not in family;white;male;0;1429;20;united states;<=50k
50;private;some college but no degree;married civilian spouse present;executive admin and managerial;wife;white;female;0;0;50;united states;<=50k
28;local government;masters degree(ma ms meng med msw mba);never married;professional specialty;not in family;white;male;0;0;40;united states;<=50k
29;private;some college but no degree;never married;professional specialty;not in family;white;female;0;0;40;united states;<=50k
26;private;bachelors degree(ba ab bs);never married;adm support including clerical;own child;white;female;0;0;40;united states;<=50k
27;private;masters degree(ma ms meng med msw mba);never married;executive admin and managerial;not in family;white;female;0;0;40;united states;<=50k
29;private;some college but no degree;married civilian spouse present;handlers equip cleaners etc;husband;white;male;3103;0;40;united states;>50k
29;private;10th grade;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;25;united states;<=50k
31;private;11th grade;married civilian spouse present;sales;wife;white;female;0;0;20;united states;<=50k
25;private;high school graduate;married civilian spouse present;executive admin and managerial;husband;white;male;0;0;75;united states;<=50k
58;private;10th grade;married civilian spouse present;transportation and material moving;husband;white;male;0;0;40;united states;>50k
64;private;some college but no degree;married civilian spouse present;executive admin and managerial;wife;white;female;0;0;40;united states;>50k
46;state government;masters degree(ma ms meng med msw mba);never married;executive admin and managerial;not in family;white;male;0;0;38;united states;<=50k
19;private;high school graduate;never married;other service;own child;amer indian aleut or eskimo;female;0;0;35;united states;<=50k
42;private;high school graduate;divorced;other service;not in family;black;male;0;0;52;united states;<=50k
18;private;11th grade;never married;handlers equip cleaners etc;own child;white;male;0;0;24;united states;<=50k
58;self employed incorporated;bachelors degree(ba ab bs);married civilian spouse present;precision production craft & repair;husband;white;male;15024;0;50;united states;>50k
20;private;some college but no degree;never married;protective services;not in family;black;male;0;0;60;united states;<=50k
35;federal government;high school graduate;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;40;united states;>50k
32;private;high school graduate;married civilian spouse present;handlers equip cleaners etc;husband;white;male;0;0;38;united states;>50k
23;private;high school graduate;never married;handlers equip cleaners etc;not in family;white;female;0;0;25;united states;<=50k
31;private;some college but no degree;divorced;technicians and related support;unmarried;white;female;0;0;40;united states;<=50k
33;private;bachelors degree(ba ab bs);married civilian spouse present;sales;husband;black;male;0;0;55;united states;<=50k
41;private;some college but no degree;never married;machine operators assmblrs & inspctrs;not in family;white;female;0;0;48;united states;<=50k
22;private;high school graduate;never married;machine operators assmblrs & inspctrs;own child;black;male;0;0;40;united states;<=50k
46;private;some college but no degree;married civilian spouse present;protective services;husband;white;male;0;0;40;united states;>50k
61;federal government;some college but no degree;married civilian spouse present;transportation and material moving;husband;black;male;0;0;40;united states;<=50k
30;private;high school graduate;never married;executive admin and managerial;not in family;black;male;0;0;40;united states;<=50k
42;private;high school graduate;married civilian spouse present;executive admin and managerial;husband;white;male;0;0;55;united states;>50k
63;private;10th grade;married civilian spouse present;handlers equip cleaners etc;husband;white;male;0;0;40;united states;<=50k
26;private;some college but no degree;married civilian spouse present;sales;husband;white;male;0;0;40;united states;<=50k
42;private;10th grade;divorced;adm support including clerical;unmarried;white;female;0;0;40;united states;<=50k
23;private;some college but no degree;married civilian spouse present;other service;husband;white;male;0;0;40;united states;<=50k
25;private;high school graduate;never married;machine operators assmblrs & inspctrs;unmarried;white;male;0;1590;40;united states;<=50k
30;private;9th grade;married civilian spouse present;other service;husband;white;male;0;0;32;el salvador;>50k
23;private;high school graduate;never married;sales;own child;white;male;0;0;40;united states;<=50k
34;self employed not incorporated;associates degree occup /vocational;never married;farming forestry and fishing;not in family;white;male;27828;0;60;united states;>50k
30;private;high school graduate;married civilian spouse present;machine operators assmblrs & inspctrs;other relative;white;male;0;2057;48;united states;<=50k
39;private;some college but no degree;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;40;united states;>50k
30;private;11th grade;never married;handlers equip cleaners etc;other relative;white;male;0;1721;38;puerto rico;<=50k
38;local government;some college but no degree;divorced;adm support including clerical;unmarried;white;female;0;0;38;united states;<=50k
26;private;high school graduate;divorced;executive admin and managerial;own child;white;female;0;0;40;united states;<=50k
20;private;some college but no degree;never married;handlers equip cleaners etc;own child;white;male;0;0;16;united states;<=50k
33;private;high school graduate;married civilian spouse present;adm support including clerical;own child;white;female;0;0;40;united states;<=50k
24;private;bachelors degree(ba ab bs);never married;adm support including clerical;own child;white;male;0;0;40;united states;<=50k
